PERMNO,HdrCUSIP,SecurityNm,Ticker,PERMCO,MthCalDt,MthPrcDt,MthRet
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/1/29,2021/1/29,0.042892
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/2/26,2021/2/26,0.004108
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/3/31,2021/3/31,0.014588
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/4/30,2021/4/30,0.069602
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/5/28,2021/5/28,-0.007633
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/6/30,2021/6/30,0.084989
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/7/30,2021/7/30,0.051717
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/8/31,2021/8/31,0.061604
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/9/30,2021/9/30,-0.066119
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/10/29,2021/10/29,0.176291
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/11/30,2021/11/30,-0.001283
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2021/12/31,2021/12/31,0.017333
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/1/31,2022/1/31,-0.075345
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/2/28,2022/2/28,-0.03721
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/3/31,2022/3/31,0.031862
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/4/29,2022/4/29,-0.099867
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/5/31,2022/5/31,-0.017968
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/6/30,2022/6/30,-0.055321
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/7/29,2022/7/29,0.093097
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/8/31,2022/8/31,-0.066658
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/9/30,2022/9/30,-0.109267
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/10/31,2022/10/31,-0.003306
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/11/30,2022/11/30,0.102217
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2022/12/30,2022/12/30,-0.060045
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/1/31,2023/1/31,0.033317
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/2/28,2023/2/28,0.009038
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/3/31,2023/3/31,0.155882
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/4/28,2023/4/28,0.065765
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/5/31,2023/5/31,0.071084
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/6/30,2023/6/30,0.036999
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/7/31,2023/7/31,-0.013567
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/8/31,2023/8/31,-0.022221
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/9/29,2023/9/29,-0.036643
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/10/31,2023/10/31,0.070816
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/11/30,2023/11/30,0.122944
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2023/12/29,2023/12/29,-0.007574
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2024/1/31,2024/1/31,0.057281
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2024/2/29,2024/2/29,0.0423
10107,59491810,MICROSOFT CORP; COM NONE; CONS,MSFT,8048,2024/3/28,2024/3/28,0.017116
