Date,Price,Open,High,Low,Vol.,Change %
04/28/2026,92.27,91.5,92.34,90.02,33.42M,0.98%
04/27/2026,91.37,92.05,92.84,91.3,29.71M,-1.16%
04/24/2026,92.44,92.57,93.28,91.8,32.55M,-0.41%
04/23/2026,92.82,94.06,94.64,92.07,36.85M,-0.45%
04/22/2026,93.24,93.06,93.85,92.77,33.69M,0.71%
04/21/2026,92.58,94,94.65,92.37,61.96M,-2.37%
04/20/2026,94.83,97.14,97.6,93.54,63.30M,-2.55%
04/17/2026,97.31,96.37,98.74,95.1,125.96M,-9.72%
04/16/2026,107.79,107.47,108.94,106.62,64.93M,0.07%
04/15/2026,107.71,105.98,107.85,105.04,38.02M,1.35%
04/14/2026,106.28,103.12,106.57,103.04,40.53M,3.02%
04/13/2026,103.16,103.03,103.67,102.06,26.04M,0.15%
04/10/2026,103.01,102.47,103.08,101.46,25.77M,0.94%
04/09/2026,102.05,99.63,102.34,99.08,35.09M,2.68%
04/08/2026,99.39,100.32,100.4,97.44,30.96M,0.58%
04/07/2026,98.82,98.55,99.88,98.25,25.02M,-0.11%
04/06/2026,98.93,100.96,102.68,97.97,37.03M,0.27%
04/02/2026,98.66,95.27,98.71,95.17,37.07M,3.25%
04/01/2026,95.55,96.47,97.2,94.26,30.44M,-0.62%
03/31/2026,96.15,93.03,96.26,93.03,54.27M,3.42%
03/30/2026,92.97,92.75,94.49,92.22,32.38M,-0.49%
03/27/2026,93.43,94.57,95.58,92.74,44.59M,0.12%
03/26/2026,93.32,91.52,95.86,91.01,59.52M,1.13%
03/25/2026,92.28,91.71,92.52,91.24,29.55M,1.50%
03/24/2026,90.92,92.79,93.74,90.82,28.94M,-2.63%
03/23/2026,93.38,92.04,93.98,91.86,34.32M,1.70%
03/20/2026,91.82,91.31,91.88,90.69,61.68M,0.09%
03/19/2026,91.74,94.31,95.75,90.78,40.17M,-3.13%
03/18/2026,94.7,94.44,95.33,93.61,27.88M,0.36%
03/17/2026,94.36,95.3,96.34,94.01,26.43M,-0.88%
03/16/2026,95.2,95.58,96.1,94.36,34.93M,-0.12%
03/13/2026,95.31,94.64,95.68,94.24,29.88M,1.06%
03/12/2026,94.31,94.86,95.4,93.87,34.21M,-0.61%
03/11/2026,94.89,97.41,98,94.68,33.96M,-2.11%
03/10/2026,96.94,97.81,98.49,96.29,41.03M,-1.40%
03/09/2026,98.32,97.7,98.94,96.58,48.59M,-0.71%
03/06/2026,99.02,99.33,99.88,97.4,41.20M,-0.15%
03/05/2026,99.17,98.5,100.19,98.1,53.40M,0.52%
03/04/2026,98.66,97.11,99.75,96.99,52.60M,0.98%
03/03/2026,97.7,96.01,98.46,95.33,59.15M,0.63%
03/02/2026,97.09,95.26,98.07,95.2,79.92M,0.88%
02/27/2026,96.24,94.29,96.75,90.58,200.77M,13.77%
02/26/2026,84.59,83.2,86.5,82.8,85.64M,2.29%
02/25/2026,82.7,79.43,83.12,79.25,69.32M,5.97%
02/24/2026,78.04,75.73,78.12,75.21,33.08M,2.66%
02/23/2026,76.02,77.79,77.83,75.01,38.36M,-3.37%
02/20/2026,78.67,76.61,78.85,76.4,32.41M,2.17%
02/19/2026,77,77.75,78.7,76.59,30.14M,-1.27%
02/18/2026,77.99,77.32,78.32,76.28,29.88M,1.29%
02/17/2026,77,76.92,77.87,75.3,35.96M,0.17%
02/13/2026,76.87,76.14,77.18,75.53,42.29M,1.33%
02/12/2026,75.86,79.11,79.15,75.23,73.52M,-4.72%
02/11/2026,79.62,81.96,82.48,79.45,40.84M,-3.15%
02/10/2026,82.21,82.71,84.66,82.09,43.60M,0.91%
02/09/2026,81.47,82.18,82.21,79.87,42.20M,-0.89%
02/06/2026,82.2,81.02,82.49,80.65,46.15M,1.64%
02/05/2026,80.87,81.49,83.3,80.54,54.81M,0.89%
02/04/2026,80.16,79.99,81.43,79.22,48.96M,0.28%
02/03/2026,79.94,82.23,82.45,79.62,49.79M,-3.41%
02/02/2026,82.76,83.53,85.27,82.72,41.45M,-0.87%
