Date,Price,Open,High,Low,Vol.,Change %
04/28/2026,10.52,10.58,10.63,10.3,9.17M,-0.66%
04/27/2026,10.59,11.02,11.19,10.57,9.84M,-3.46%
04/24/2026,10.97,11.27,11.33,10.9,6.29M,-2.66%
04/23/2026,11.27,11.8,11.82,11.06,8.49M,-4.49%
04/22/2026,11.8,11.71,11.83,11.48,5.35M,1.64%
04/21/2026,11.61,11.86,11.92,11.6,8.43M,-1.78%
04/20/2026,11.82,11.68,11.87,11.61,5.95M,0.68%
04/17/2026,11.74,11.79,11.97,11.61,7.19M,0.09%
04/16/2026,11.73,11.76,11.94,11.6,5.98M,0.51%
04/15/2026,11.67,11.1,11.78,11.05,11.10M,5.32%
04/14/2026,11.08,10.77,11.14,10.73,8.88M,3.26%
04/13/2026,10.73,10.53,10.76,10.32,11.25M,1.04%
04/10/2026,10.62,10.9,11.01,10.48,9.47M,-2.12%
04/09/2026,10.85,10.78,10.96,10.43,13.85M,0.28%
04/08/2026,10.82,10.96,11.34,10.8,19.51M,-0.73%
04/07/2026,10.9,9.76,11.15,9.76,37.94M,10.66%
04/06/2026,9.85,9.52,10.04,9.47,10.66M,3.47%
04/02/2026,9.52,9.02,9.7,9.02,12.89M,2.92%
04/01/2026,9.25,9.03,9.27,8.97,9.59M,2.55%
03/31/2026,9.02,8.9,9.24,8.71,27.91M,1.12%
03/30/2026,8.92,8.85,9.07,8.76,8.34M,1.48%
03/27/2026,8.79,8.88,9.02,8.65,9.83M,-1.01%
03/26/2026,8.88,9.16,9.25,8.86,10.67M,-3.79%
03/25/2026,9.23,9.2,9.32,9.07,9.30M,0.65%
03/24/2026,9.17,9.1,9.35,9.09,9.79M,0.33%
03/23/2026,9.14,9.24,9.42,9.04,9.54M,-0.11%
03/20/2026,9.15,8.92,9.23,8.85,23.90M,2.12%
03/19/2026,8.96,8.89,9,8.61,10.72M,-0.44%
03/18/2026,9,9.12,9.3,8.96,8.80M,-2.49%
03/17/2026,9.23,9.52,9.7,9.22,11.60M,-2.84%
03/16/2026,9.5,9.62,9.72,9.48,12.75M,-2.26%
03/13/2026,9.72,9.85,9.99,9.54,16.61M,-0.82%
03/12/2026,9.8,9.85,10.05,9.79,10.74M,-1.41%
03/11/2026,9.94,10.38,10.42,9.91,12.48M,-3.78%
03/10/2026,10.33,11.03,11.09,10.25,21.09M,-7.69%
03/09/2026,11.19,11.49,11.6,11.02,13.47M,-6.67%
03/06/2026,11.99,11.53,12.14,11.32,11.35M,2.13%
03/05/2026,11.74,12.06,12.51,11.7,17.43M,-2.57%
03/04/2026,12.05,12.3,12.63,12.01,14.24M,-3.21%
03/03/2026,12.45,12.85,13.11,12.25,22.14M,-6.67%
03/02/2026,13.34,14.1,14.1,13.06,27.38M,-1.26%
02/27/2026,13.51,11.2,14,10.98,91.70M,20.84%
02/26/2026,11.18,10.32,11.3,10.31,16.08M,10.04%
02/25/2026,10.16,10.4,10.55,10.15,13.24M,-2.21%
02/24/2026,10.39,10.51,10.68,10.35,7.89M,-1.61%
02/23/2026,10.56,10.73,10.74,10.4,9.26M,-1.40%
02/20/2026,10.71,10.95,10.97,10.7,8.88M,-2.10%
02/19/2026,10.94,11.08,11.13,10.77,6.82M,-1.62%
02/18/2026,11.12,10.83,11.25,10.7,7.35M,2.68%
02/17/2026,10.83,10.62,11.32,10.62,13.68M,4.94%
02/13/2026,10.32,10.27,10.45,10.19,8.46M,0.68%
02/12/2026,10.25,11,11.02,10.15,10.20M,-6.90%
02/11/2026,11.01,10.83,11.07,10.68,6.94M,1.57%
02/10/2026,10.84,10.77,10.93,10.7,8.68M,1.50%
02/09/2026,10.68,10.5,10.69,10.31,7.46M,1.14%
02/06/2026,10.56,10.6,10.77,10.44,7.14M,0.38%
02/05/2026,10.52,10.8,10.85,10.34,7.62M,-2.14%
02/04/2026,10.75,10.8,10.98,10.65,11.10M,-0.56%
02/03/2026,10.81,11.11,11.15,10.75,11.22M,-3.31%
02/02/2026,11.18,11.1,11.23,11.03,5.98M,-0.27%
01/30/2026,11.21,11.22,11.26,10.98,5.75M,-0.44%
01/29/2026,11.26,11.34,11.34,10.96,7.73M,-0.71%
01/28/2026,11.34,11.59,11.65,11.33,4.47M,-1.82%
01/27/2026,11.55,11.91,11.96,11.45,5.42M,-2.86%
01/26/2026,11.89,11.75,11.99,11.58,6.27M,1.62%
01/23/2026,11.7,11.73,11.83,11.7,4.48M,-0.68%
01/22/2026,11.78,11.71,11.94,11.65,7.22M,1.55%
01/21/2026,11.6,11.51,11.63,11.42,5.89M,0.43%
01/20/2026,11.55,11.53,11.81,11.45,11.27M,-2.12%
01/16/2026,11.8,11.89,11.96,11.75,6.14M,-0.25%
01/15/2026,11.83,12.07,12.12,11.77,6.84M,-2.07%
01/14/2026,12.08,12.13,12.2,12,4.83M,-0.49%
01/13/2026,12.14,12.13,12.22,12.04,7.36M,-0.08%
01/12/2026,12.15,12.01,12.2,11.97,6.92M,0.75%
01/09/2026,12.06,12.29,12.32,12.02,7.70M,-1.71%
01/08/2026,12.27,12.36,12.51,12.25,7.86M,-0.81%
01/07/2026,12.37,12.56,12.6,12.23,6.70M,-1.04%
01/06/2026,12.5,12.98,12.98,12.45,11.14M,-3.70%
01/05/2026,12.98,13.13,13.16,12.89,7.57M,-1.52%
01/02/2026,13.18,13.4,13.43,13.13,5.93M,-1.64%
12/31/2025,13.4,13.39,13.51,13.34,5.08M,-0.81%
12/30/2025,13.51,13.4,13.69,13.4,3.94M,0.07%
12/29/2025,13.5,13.5,13.56,13.42,4.76M,-0.66%
12/26/2025,13.59,13.7,13.74,13.46,2.89M,-1.09%
12/24/2025,13.74,13.49,13.75,13.36,2.46M,1.55%
12/23/2025,13.53,13.49,13.64,13.44,4.41M,-0.59%
12/22/2025,13.61,13.48,14.1,13.44,11.62M,4.29%
12/19/2025,13.05,12.95,13.14,12.87,23.33M,0.31%
12/18/2025,13.01,13.11,13.24,12.94,7.41M,-0.69%
12/17/2025,13.1,13.55,13.58,13.06,12.88M,-5.42%
12/16/2025,13.85,13.86,13.98,13.51,7.51M,-1.00%
12/15/2025,13.99,13.78,14,13.47,6.61M,1.82%
12/12/2025,13.74,14.09,14.23,13.71,10.24M,-2.69%
12/11/2025,14.12,14.81,15.03,14.05,19.13M,-4.08%
12/10/2025,14.72,14.68,15.3,14.55,14.63M,0.55%
12/09/2025,14.64,14.42,14.81,13.97,15.40M,0.48%
12/08/2025,14.57,14.07,14.76,13.53,39.52M,9.02%
12/05/2025,13.36,14.41,14.41,13.2,27.10M,-9.82%
12/04/2025,14.82,14.63,14.91,14.25,7.53M,1.02%
12/03/2025,14.67,15.8,15.83,14.64,9.61M,-7.27%
12/02/2025,15.82,15.71,16.05,15.49,6.45M,0.70%
12/01/2025,15.71,15.81,15.9,15.5,4.57M,-1.94%
11/28/2025,16.02,15.8,16.03,15.49,2.77M,1.46%
11/26/2025,15.79,15.68,15.85,15.44,6.67M,0.96%
11/25/2025,15.64,15.15,15.67,15.1,4.55M,3.85%
11/24/2025,15.06,15.89,15.9,15,13.56M,-5.22%
11/21/2025,15.89,15.7,16.04,15.46,5.48M,1.34%
11/20/2025,15.68,15.58,16.3,15.52,8.95M,1.36%
11/19/2025,15.47,15.98,16.15,15.45,7.94M,-3.85%
11/18/2025,16.09,15.7,16.31,15.25,10.12M,2.29%
11/17/2025,15.73,15.72,15.93,15.6,7.82M,0.32%
11/14/2025,15.68,15.28,15.77,15.05,6.23M,2.02%
11/13/2025,15.37,15.48,15.79,15.28,5.96M,-1.28%
11/12/2025,15.57,16.56,16.6,15.27,12.22M,-6.99%
11/11/2025,16.74,16.21,17.16,16.01,15.86M,9.77%
11/10/2025,15.25,15.13,15.32,14.97,13.01M,0.99%
11/07/2025,15.1,14.66,15.28,14.65,9.77M,2.03%
11/06/2025,14.8,15.09,15.4,14.73,6.51M,-1.92%
11/05/2025,15.09,14.85,15.34,14.83,6.11M,1.68%
11/04/2025,14.84,15.21,15.44,14.79,7.35M,-3.76%
11/03/2025,15.42,15.36,15.47,14.87,6.61M,0.19%
10/31/2025,15.39,15.38,15.65,15.29,6.73M,-0.45%
10/30/2025,15.46,15.79,15.86,15.37,4.88M,-2.64%
10/29/2025,15.88,16.21,16.28,15.81,4.41M,-2.04%
10/28/2025,16.21,16.56,16.56,16.11,3.48M,-2.14%
10/27/2025,16.57,16.81,16.93,16.36,3.80M,-0.93%
10/24/2025,16.72,16.69,16.89,16.58,2.24M,1.52%
10/23/2025,16.47,16.57,16.87,16.45,3.59M,-0.60%
10/22/2025,16.57,16.47,16.73,16.28,2.66M,0.36%
10/21/2025,16.51,17.15,17.29,16.45,4.35M,-2.83%
10/20/2025,16.99,16.92,17.08,16.65,2.42M,1.31%
10/17/2025,16.77,16.78,16.99,16.51,4.22M,-0.77%
10/16/2025,16.9,17.35,17.43,16.75,4.35M,-3.04%
10/15/2025,17.43,17.26,17.68,17.08,3.79M,0.81%
10/14/2025,17.29,16.96,17.44,16.63,4.23M,1.11%
10/13/2025,17.1,17.13,17.54,17.03,4.43M,0.59%
10/10/2025,17,18.1,18.1,16.89,6.06M,-5.40%
10/09/2025,17.97,18.5,18.65,17.9,4.70M,-2.86%
10/08/2025,18.5,18.38,18.87,18.14,8.34M,-0.05%
10/07/2025,18.51,19.09,19.22,18.23,5.04M,-3.24%
10/06/2025,19.13,19.14,19.22,18.68,10.25M,0.21%
10/03/2025,19.09,18.6,19.45,18.6,12.24M,2.52%
10/02/2025,18.62,18.91,19.15,18.6,4.64M,-1.43%
10/01/2025,18.89,18.88,19.13,18.6,4.90M,-0.16%
09/30/2025,18.92,19.31,20.09,18.87,12.00M,-2.97%
09/29/2025,19.5,19.17,19.69,18.31,8.18M,3.07%
09/26/2025,18.92,18.91,19.14,18.68,4.53M,-0.05%
09/25/2025,18.93,18.73,19.34,18.6,7.55M,-0.99%
09/24/2025,19.12,19.58,20.05,19,11.91M,-3.09%
09/23/2025,19.73,18.69,20.86,18.29,23.43M,6.02%
09/22/2025,18.61,18.92,19.3,18.48,13.81M,-1.64%
09/19/2025,18.92,18,19.23,17.7,21.73M,5.85%
09/18/2025,17.88,18,18.15,17.66,5.57M,-0.25%
09/17/2025,17.92,17.64,18.31,17.57,7.33M,2.22%
09/16/2025,17.53,18.59,18.62,17.45,9.62M,-5.65%
09/15/2025,18.58,18.8,19.05,18.22,11.16M,-1.12%
09/12/2025,18.79,17.46,18.87,16.9,32.42M,7.62%
09/11/2025,17.46,15.02,17.58,13.99,48.51M,15.55%
09/10/2025,15.11,15.3,15.79,14.83,6.16M,-0.59%
09/09/2025,15.2,14.95,15.47,14.72,6.07M,0.07%
09/08/2025,15.19,15.07,15.23,14.74,6.51M,1.27%
09/05/2025,15,14.48,15.18,14.48,7.42M,1.76%
09/04/2025,14.74,14.92,15.04,14.41,5.29M,-2.12%
09/03/2025,15.06,14.44,15.31,14.39,8.36M,4.15%
09/02/2025,14.46,14.54,14.66,14.19,5.13M,-1.63%
08/29/2025,14.7,14.62,14.78,14.38,4.86M,0.07%
08/28/2025,14.69,14.77,15.03,14.42,5.59M,-0.81%
08/27/2025,14.81,15.71,15.71,14.63,12.17M,-6.50%
08/26/2025,15.84,15.71,15.9,15.15,14.23M,-0.75%
08/25/2025,15.96,15.91,16.4,15.75,8.13M,-0.25%
08/22/2025,16,15.57,16.64,15.25,14.87M,-0.19%
08/21/2025,16.03,13.95,16.3,13.95,46.43M,14.66%
08/20/2025,13.98,13.5,14.06,13.32,9.09M,3.71%
08/19/2025,13.48,13.51,13.67,12.96,11.06M,-0.15%
08/18/2025,13.5,13.72,13.9,13.23,11.96M,-1.60%
08/15/2025,13.72,14.38,14.6,13.66,16.70M,-4.59%
08/14/2025,14.38,14.9,14.94,13.67,26.04M,-4.13%
08/13/2025,15,11.2,17.53,11.15,133.66M,36.74%
08/12/2025,10.97,10.23,11.3,10.14,30.41M,8.40%
08/11/2025,10.12,10.61,10.65,9.95,51.35M,-3.71%
08/08/2025,10.51,11.42,11.86,10.38,39.97M,-10.48%
08/07/2025,11.74,11.64,12.79,10.57,43.11M,6.34%
08/06/2025,11.04,11.61,11.65,10.87,75.62M,-6.04%
08/05/2025,11.75,12.31,12.36,11.54,10.12M,-4.55%
08/04/2025,12.31,13.01,13.05,12.3,6.56M,-5.38%
08/01/2025,13.01,12.64,13.32,12.35,9.69M,3.50%
07/31/2025,12.57,12,12.6,11.54,12.95M,-5.49%
07/30/2025,13.3,13.3,13.53,13.12,32.77M,0.38%
07/29/2025,13.25,13.05,13.32,13.04,28.75M,1.61%
07/28/2025,13.04,12.99,13.31,12.78,25.21M,-0.08%
07/25/2025,13.05,13.48,13.59,12.87,25.57M,-1.58%
07/24/2025,13.26,13.18,13.3,13.13,10.76M,0.45%
07/23/2025,13.2,13.17,13.24,13.11,4.89M,0.69%
07/22/2025,13.11,13.13,13.2,13.05,4.14M,0.61%
07/21/2025,13.03,13.03,13.12,12.96,4.76M,0.31%
07/18/2025,12.99,12.99,13.07,12.87,6.85M,0.39%
07/17/2025,12.94,12.94,13.01,12.91,5.85M,-0.23%
07/16/2025,12.97,12.99,13.02,12.94,3.04M,0.08%
07/15/2025,12.96,13.07,13.07,12.93,9.60M,-0.31%
07/14/2025,13,12.67,13.05,12.66,10.53M,1.96%
07/11/2025,12.75,12.69,12.76,12.57,4.08M,-0.16%
07/10/2025,12.77,12.64,12.8,12.55,5.85M,1.27%
07/09/2025,12.61,12.73,12.85,12.57,7.62M,-0.16%
07/08/2025,12.63,12.55,12.69,12.42,7.52M,0.80%
07/07/2025,12.53,12.89,12.89,12.52,9.75M,-2.87%
07/03/2025,12.9,12.89,12.95,12.81,4.14M,0.47%
07/02/2025,12.84,13.24,13.29,12.82,10.63M,-2.43%
07/01/2025,13.16,12.9,13.27,12.87,12.93M,2.02%
06/30/2025,12.9,12.55,12.92,12.55,12.95M,2.95%
