Date,Price,Open,High,Low,Vol.,Change %
04/28/2026,"7,138.80","7,133.74","7,152.52","7,115.17",,-0.49%
04/27/2026,"7,173.91","7,152.72","7,178.74","7,146.72",,0.12%
04/24/2026,"7,165.08","7,136.48","7,168.59","7,112.82",,0.80%
04/23/2026,"7,108.40","7,118.80","7,147.78","7,046.55",,-0.41%
04/22/2026,"7,137.90","7,102.91","7,138.64","7,102.91",,1.05%
04/21/2026,"7,064.01","7,122.64","7,137.27","7,050.20",,-0.63%
04/20/2026,"7,109.14","7,117.05","7,122.65","7,084.41",,-0.24%
04/17/2026,"7,126.06","7,074.55","7,147.52","7,074.55",,1.20%
04/16/2026,"7,041.28","7,037.78","7,051.23","7,008.52",,0.26%
04/15/2026,"7,022.95","6,978.17","7,026.24","6,967.13",,0.80%
04/14/2026,"6,967.38","6,910.20","6,969.42","6,905.17",,1.18%
04/13/2026,"6,886.24","6,806.47","6,887.00","6,790.02",,1.02%
04/10/2026,"6,816.89","6,839.24","6,845.77","6,808.46",,-0.11%
04/09/2026,"6,824.66","6,783.69","6,835.31","6,761.55",,0.62%
04/08/2026,"6,782.81","6,754.36","6,793.50","6,740.28",,2.51%
04/07/2026,"6,616.85","6,601.93","6,618.26","6,534.55",,0.08%
04/06/2026,"6,611.83","6,587.66","6,618.13","6,579.72",,0.44%
04/02/2026,"6,582.69","6,512.61","6,601.91","6,474.94",,0.11%
04/01/2026,"6,575.32","6,556.56","6,609.67","6,554.29",,0.72%
03/31/2026,"6,528.52","6,395.88","6,539.05","6,395.88",,2.91%
03/30/2026,"6,343.72","6,403.37","6,427.31","6,316.91",,-0.39%
03/27/2026,"6,368.85","6,453.89","6,453.89","6,356.08",,-1.67%
03/26/2026,"6,477.16","6,555.86","6,573.22","6,473.79",,-1.74%
03/25/2026,"6,591.90","6,598.35","6,633.94","6,568.41",,0.54%
03/24/2026,"6,556.37","6,552.09","6,595.75","6,525.11",,-0.37%
03/23/2026,"6,581.00","6,574.96","6,651.62","6,565.55",,1.15%
03/20/2026,"6,506.48","6,594.66","6,594.66","6,473.52",,-1.51%
03/19/2026,"6,606.49","6,583.12","6,636.74","6,557.82",,-0.27%
03/18/2026,"6,624.70","6,697.16","6,705.18","6,621.66",,-1.36%
03/17/2026,"6,716.09","6,722.35","6,754.30","6,710.80",,0.25%
03/16/2026,"6,699.38","6,674.37","6,729.79","6,674.37",,1.01%
03/13/2026,"6,632.19","6,673.49","6,733.30","6,623.92",,-0.61%
03/12/2026,"6,672.62","6,740.88","6,740.88","6,670.40",,-1.52%
03/11/2026,"6,775.80","6,790.09","6,811.15","6,745.59",,-0.08%
03/10/2026,"6,781.48","6,796.56","6,845.08","6,759.74",,-0.21%
03/09/2026,"6,795.99","6,699.80","6,810.44","6,636.04",,0.83%
03/06/2026,"6,740.02","6,769.03","6,773.42","6,711.56",,-1.33%
03/05/2026,"6,830.71","6,851.08","6,870.43","6,770.78",,-0.56%
03/04/2026,"6,869.50","6,831.69","6,885.94","6,811.64",,0.78%
03/03/2026,"6,816.63","6,800.26","6,840.05","6,710.42",,-0.94%
03/02/2026,"6,881.62","6,824.36","6,901.01","6,796.85",,0.04%
02/27/2026,"6,878.88","6,856.54","6,882.96","6,831.74",,-0.43%
02/26/2026,"6,908.86","6,944.74","6,947.25","6,859.73",,-0.54%
02/25/2026,"6,946.13","6,915.15","6,952.51","6,915.15",,0.81%
02/24/2026,"6,890.07","6,837.37","6,899.17","6,815.43",,0.77%
02/23/2026,"6,837.75","6,901.25","6,916.96","6,819.82",,-1.04%
02/20/2026,"6,909.51","6,843.26","6,915.86","6,836.33",,0.69%
02/19/2026,"6,861.89","6,861.34","6,879.12","6,833.06",,-0.28%
02/18/2026,"6,881.31","6,855.48","6,909.12","6,849.66",,0.56%
02/17/2026,"6,843.22","6,819.86","6,866.99","6,775.50",,0.10%
02/13/2026,"6,836.17","6,834.27","6,881.96","6,794.55",,0.05%
02/12/2026,"6,832.76","6,957.54","6,973.22","6,824.04",,-1.57%
02/11/2026,"6,941.47","6,976.48","6,993.48","6,911.97",,0.00%
02/10/2026,"6,941.81","6,974.49","6,986.83","6,937.53",,-0.33%
02/09/2026,"6,964.82","6,917.26","6,980.10","6,905.87",,0.47%
02/06/2026,"6,932.30","6,816.74","6,944.89","6,816.74",,1.97%
02/05/2026,"6,798.40","6,837.39","6,857.85","6,780.13",,-1.23%
02/04/2026,"6,882.72","6,924.50","6,936.09","6,838.80",,-0.51%
02/03/2026,"6,917.81","6,985.45","6,993.08","6,862.05",,-0.84%
02/02/2026,"6,976.44","6,916.64","6,991.92","6,914.34",,0.54%
01/30/2026,"6,939.03","6,947.27","6,964.09","6,893.48",,-0.43%
01/29/2026,"6,969.01","6,977.74","6,992.84","6,870.80",,-0.13%
01/28/2026,"6,978.03","7,002.00","7,002.28","6,963.46",,-0.01%
01/27/2026,"6,978.60","6,965.96","6,988.82","6,958.83",,0.41%
01/26/2026,"6,950.23","6,923.23","6,964.66","6,921.60",,0.50%
01/23/2026,"6,915.61","6,907.85","6,932.96","6,895.50",,0.03%
