Date,Price,Open,High,Low,Vol.,Change %
04/28/2026,26.95,26.97,26.98,26.6,15.39M,0.48%
04/27/2026,26.82,27.02,27.08,26.82,16.25M,-0.92%
04/24/2026,27.07,26.97,27.18,26.92,20.78M,0.63%
04/23/2026,26.9,27.42,27.45,26.9,20.61M,-1.57%
04/22/2026,27.33,27.35,27.38,27.27,18.98M,0.07%
04/21/2026,27.31,27.41,27.45,27.27,24.61M,-0.40%
04/20/2026,27.42,27.42,27.59,27.36,14.85M,-0.18%
04/17/2026,27.47,27.39,27.57,27.34,27.56M,0.29%
04/16/2026,27.39,27.21,27.42,27.2,23.43M,0.70%
04/15/2026,27.2,27.32,27.35,27.19,18.24M,-0.62%
04/14/2026,27.37,27.33,27.38,27.31,20.57M,-0.07%
04/13/2026,27.39,27.4,27.45,27.31,16.00M,-0.18%
04/10/2026,27.44,27.55,27.57,27.42,15.94M,-0.33%
04/09/2026,27.53,27.5,27.56,27.48,22.03M,-0.07%
04/08/2026,27.55,27.5,27.57,27.48,18.98M,0.66%
04/07/2026,27.37,27.35,27.42,27.34,16.39M,-0.15%
04/06/2026,27.41,27.35,27.5,27.31,22.13M,0.33%
04/02/2026,27.32,27.34,27.43,27.29,16.93M,-0.62%
04/01/2026,27.49,27.31,27.76,27.28,30.77M,0.11%
03/31/2026,27.46,27.17,27.49,27.08,39.80M,1.37%
03/30/2026,27.09,27.14,27.17,27,25.40M,0.07%
03/27/2026,27.07,27.09,27.14,26.86,22.48M,0.00%
03/26/2026,27.07,27.16,27.22,27.07,25.75M,-0.55%
03/25/2026,27.22,27.28,27.29,27.12,26.25M,-0.22%
03/24/2026,27.28,27.35,27.44,27.25,29.09M,-0.44%
03/23/2026,27.4,27.74,27.74,27.36,30.00M,-0.07%
03/20/2026,27.42,27.59,27.68,27.33,52.49M,-0.76%
03/19/2026,27.63,27.35,27.69,27.29,27.48M,1.02%
03/18/2026,27.35,27.42,27.78,27.22,36.51M,-1.05%
03/17/2026,27.64,27.34,27.8,27.34,23.26M,0.47%
03/16/2026,27.51,27.28,27.56,27.19,29.76M,1.36%
03/13/2026,27.14,27.49,27.52,27.02,26.62M,-1.06%
03/12/2026,27.43,27.71,27.81,27.4,23.86M,-1.37%
03/11/2026,27.81,27.76,27.92,27.75,21.26M,0.18%
03/10/2026,27.76,27.74,27.95,27.69,18.01M,0.04%
03/09/2026,27.75,27.85,27.93,27.71,24.40M,-0.72%
03/06/2026,27.95,27.76,27.99,27.67,23.27M,-0.18%
03/05/2026,28,27.9,28,27.81,25.04M,0.18%
03/04/2026,27.95,28.14,28.19,27.93,37.70M,-0.89%
03/03/2026,28.2,28.3,28.46,28.17,30.85M,-1.05%
03/02/2026,28.5,28.01,28.5,28.01,39.79M,1.17%
02/27/2026,28.17,28.39,28.4,28.12,68.76M,-2.19%
02/26/2026,28.8,28.79,29,28.75,20.00M,-0.35%
02/25/2026,28.9,29.04,29.1,28.85,22.32M,-0.86%
02/24/2026,29.15,29,29.2,28.92,27.45M,0.80%
02/23/2026,28.92,28.82,28.99,28.74,13.04M,0.59%
02/20/2026,28.75,28.69,28.78,28.52,19.88M,0.77%
02/19/2026,28.53,28.58,29.19,28.5,23.92M,-0.90%
02/18/2026,28.79,28.86,28.97,28.59,19.35M,0.14%
